area,code,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
Alambagh,1058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.571428571428573,27.36,29.35036170212766,22.42857142857143
Ballygunge,1027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.656644230769235,23.035746753246755,22.767857142857142,21.534653465346533,23.566878980891726,23.730945263157892,27.384615384615383,34.49197860962566,38.834355828220865,48.60504201680672,54.014972972972984,47.728292682926835
Howrah,1053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.89795918367347,23.60759493670886,31.734104046242773,32.591240875912405,34.15267045454546,30.915599999999998
New Town,1060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.57175,22.889666666666667
Kanka,1028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.583333333333336,19.63169333333333,23.80952380952381,23.387096774193548,31.092436974789916,25.03967088607595,26.307692307692314,31.717171717171716,28.549618320610687,32.8034188034188,38.5,36.126379310344824
Janpath,1034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.093580645161293,30.76923076923077,28.35820895522388,27.272727272727273,23.02963503649635,25.416666666666668,25.688073394495415,25.808823529411764,30.768,34.53225806451613,33.0125
Sevoke Rd,1035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5625,35.84905660377358,27.33333333333333,23.863636363636363,24.90178291428571,25.000000000000004,28.823529411764707,36.48648648648649,36.10666666666666,39.394217391304345,41.65360714285715
Ushagram,1061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.444444444444446,31.13640909090909
ABCPoint,1030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.044642857142858,30.344262295081965,24.137931034482758,22.93577981651376,26.712328767123285,26.37925,23.90728476821192,30.51094890510949,36.38655462184874,35.286885245901644,36.49823333333333,43.073324324324325
Dimapur,1038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.571428571428573,28.000000000000004,23.913043478260867,23.60377358490566,24.8,28.81578947368421,29.508196721311478,33.5,38.173913043478265,31.400000000000002
Itanagar,1055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.857142857142854,26.153846153846153,25.833333333333332,36.04,47.166666666666664
JP Ng,1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.33333333333334,28.90173410404624,22.815533980582526,23.976608187134502,25.0,26.05425980392157,28.9572816091954,28.509657142857147,31.576068493150682,25.865173515981738,25.630252100840334,23.17880794701987,22.59259259259259,27.1290474137931,31.686746987951807,28.2183908045977,30.666666666666668,36.21985815602837,39.55376785714286,38.43186111111111
Whitefield,1016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.551923076923078,22.66488888888889,31.134177215189872,24.246796078431373,28.139849624060147,22.727272727272727,22.485207100591715,27.485380116959067,27.781683098591547,24.85148514851485,28.85416666666667,31.53846153846154,34.51546391752578,35.047505747126436,33.23513043478261
Kalyan Ng,1049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.941860465116278,23.563218390804597,23.80952380952381,24.333333333333332,25.646341463414636,33.157421875,26.65261111111111
Basaveshwar,1052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,15.3125,24.62686567164179,23.77777777777778,31.586206896551726,30.129184615384617,35.91117857142857
Madhapur,1010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,19.19191919191919,19.480312068965517,23.291351145038167,20.566885714285714,25.22716621761658,20.883818897637795,20.089285714285715,20.921985815602838,24.999999999999996,25.7560773480663,36.086956521739125,30.567375886524825,38.583333333333336,37.92857142857143,37.552372727272726,37.15971794871795
Kalasiguda,1044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.50485436893204,20.089333333333332,22.735849056603772,21.25,29.212598425196852,25.53174603174603,30.63861386138614,29.462837837837835
Anna Ng,1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5,26.416666666666668,19.67213114754098,22.58064516129032,20.833333333333332,22.747622377622378,20.4,25.174825174825177,30.26666666666667,32.68750000000001,30.419019607843136,38.26846341463415
Jayalakshmipuram,1043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.571428571428573,20.754716981132074,19.71805555555556,25.857142857142858,27.464788732394364,30.8955223880597,28.764705882352942,32.52317073170732,61.801
